Activity,Checkin,Start,Dep,Arr,End,Checkout,AcVer,DD,CAT,Crew
AD4871,29/07/2025 13:10,29/07/2025 14:00,VCP,SLZ,29/07/2025 17:39,,,,CA,
AD4816,,29/07/2025 19:24,SLZ,VCP,29/07/2025 22:35,,,,CA,
AD9000,,29/07/2025 23:33,VCP,CNF,30/07/2025 00:33,30/07/2025 01:03,,,CA,
AD6073,30/07/2025 13:55,30/07/2025 15:01,CNF,GRU,30/07/2025 16:12,,,,CA,
AD2835,,30/07/2025 17:00,GRU,CGB,30/07/2025 18:19,30/07/2025 18:49,,,CA,
AD4419,31/07/2025 15:10,31/07/2025 15:50,CGB,CNF,31/07/2025 19:01,,,,CA,
AD2923,,31/07/2025 22:00,CNF,POA,01/08/2025 00:18,01/08/2025 00:48,,,CA,
AD2838,01/08/2025 13:20,01/08/2025 14:02,POA,GRU,01/08/2025 15:41,,,,CA,
AD2914,,01/08/2025 16:27,GRU,POA,01/08/2025 18:07,,,,CA,
AD2830,,01/08/2025 19:39,POA,VCP,01/08/2025 21:14,01/08/2025 21:44,,,CA,
FR,02/08/2025 12:00,02/08/2025 12:00,VCP,VCP,03/08/2025 12:00,03/08/2025 12:00,,,,
FR,03/08/2025 12:00,03/08/2025 12:00,VCP,VCP,04/08/2025 12:00,04/08/2025 12:00,,,,
AD4871,04/08/2025 13:10,04/08/2025 14:00,VCP,SLZ,04/08/2025 17:13,,,,CA,
AD4816,,04/08/2025 18:02,SLZ,VCP,04/08/2025 21:23,,,,CA,
AD9000,,04/08/2025 23:20,VCP,CNF,05/08/2025 00:24,05/08/2025 00:54,,,CA,
AD2625,05/08/2025 18:40,05/08/2025 19:28,CNF,REC,05/08/2025 21:57,,,,CA,
AD2448,,05/08/2025 22:43,REC,SJP,06/08/2025 01:47,06/08/2025 02:17,,,CA,
AD4140,06/08/2025 14:59,06/08/2025 15:40,SJP,VCP,06/08/2025 16:42,06/08/2025 17:12,,,CA,
AD4871,07/08/2025 13:10,07/08/2025 14:14,VCP,SLZ,07/08/2025 17:28,,,,CA,
AD4816,,07/08/2025 18:13,SLZ,BSB,08/08/2025 00:46,08/08/2025 06:00,,,CA,
AD6596,09/08/2025 05:25,09/08/2025 05:58,BSB,VCP,09/08/2025 07:32,09/08/2025 08:02,,,CA,
FR,09/08/2025 20:30,09/08/2025 20:30,VCP,VCP,10/08/2025 20:30,10/08/2025 20:30,,,,
FR,10/08/2025 20:30,10/08/2025 20:30,VCP,VCP,11/08/2025 20:30,11/08/2025 20:30,,,,
SAF,12/08/2025 07:00,12/08/2025 07:00,VCP,VCP,12/08/2025 15:00,12/08/2025 15:00,,,,
SAF,13/08/2025 07:00,13/08/2025 07:00,VCP,VCP,13/08/2025 15:00,13/08/2025 15:00,,,,
EAD,13/08/2025 18:10,13/08/2025 18:10,VCP,VCP,13/08/2025 18:40,13/08/2025 18:40,,,,
SAF,14/08/2025 07:00,14/08/2025 07:00,VCP,VCP,14/08/2025 15:00,14/08/2025 15:00,,,,
EAD,14/08/2025 17:40,14/08/2025 17:40,VCP,VCP,14/08/2025 18:30,14/08/2025 18:30,,,,
EAD,14/08/2025 18:30,14/08/2025 18:30,VCP,VCP,14/08/2025 18:45,14/08/2025 18:45,,,,
EAD,15/08/2025 08:10,15/08/2025 08:10,VCP,VCP,15/08/2025 08:55,15/08/2025 08:55,,,,
EAD,15/08/2025 08:55,15/08/2025 08:55,VCP,VCP,15/08/2025 10:55,15/08/2025 10:55,,,,
EAD,15/08/2025 10:55,15/08/2025 10:55,VCP,VCP,15/08/2025 12:50,15/08/2025 12:50,,,,
EAD,15/08/2025 13:50,15/08/2025 13:50,VCP,VCP,15/08/2025 14:50,15/08/2025 14:50,,,,
EAD,15/08/2025 14:50,15/08/2025 14:50,VCP,VCP,15/08/2025 15:40,15/08/2025 15:40,,,,
EAD,15/08/2025 15:40,15/08/2025 15:40,VCP,VCP,15/08/2025 15:55,15/08/2025 15:55,,,,
EAD,15/08/2025 15:55,15/08/2025 15:55,VCP,VCP,15/08/2025 17:25,15/08/2025 17:25,,,,
FR,16/08/2025 06:10,16/08/2025 06:10,VCP,VCP,17/08/2025 06:10,17/08/2025 06:10,,,,
FR,17/08/2025 06:10,17/08/2025 06:10,VCP,VCP,18/08/2025 06:10,18/08/2025 06:10,,,,
SEA,18/08/2025 06:10,18/08/2025 06:10,SEA,VCP,18/08/2025 09:10,18/08/2025 09:10,,,,
AD2619,18/08/2025 10:40,18/08/2025 11:30,VCP,POA,18/08/2025 13:10,,,,FO,
AD2863,,18/08/2025 14:05,POA,GRU,18/08/2025 15:50,,,,FO,
AD2864,,18/08/2025 16:40,GRU,POA,18/08/2025 18:20,18/08/2025 18:50,,,FO,
AD2687,19/08/2025 08:30,19/08/2025 09:05,POA,VCP,19/08/2025 10:45,19/08/2025 11:15,,,CA,
FP,20/08/2025 00:00,20/08/2025 00:00,VCP,VCP,21/08/2025 00:00,21/08/2025 00:00,,,,
FP,21/08/2025 00:00,21/08/2025 00:00,VCP,VCP,22/08/2025 00:00,22/08/2025 00:00,,,,
P-SNA,22/08/2025 00:00,22/08/2025 00:00,VCP,VCP,23/08/2025 00:00,23/08/2025 00:00,,,,
FP,23/08/2025 00:00,23/08/2025 00:00,VCP,VCP,24/08/2025 00:00,24/08/2025 00:00,,,,
FP,24/08/2025 00:00,24/08/2025 00:00,VCP,VCP,25/08/2025 00:00,25/08/2025 00:00,,,,
P-SNA,25/08/2025 00:00,25/08/2025 00:00,VCP,VCP,26/08/2025 00:00,26/08/2025 00:00,,,,
SFX,26/08/2025 12:50,26/08/2025 14:20,VCP,VCP,26/08/2025 18:20,26/08/2025 18:50,,,,
SFX,27/08/2025 17:00,27/08/2025 18:30,VCP,VCP,27/08/2025 22:30,27/08/2025 23:00,,,,
FR,28/08/2025 11:55,28/08/2025 11:55,VCP,VCP,29/08/2025 11:55,29/08/2025 11:55,,,,
FR,29/08/2025 11:55,29/08/2025 11:55,VCP,VCP,30/08/2025 11:55,30/08/2025 11:55,,,,
AD4070,30/08/2025 11:55,30/08/2025 12:45,VCP,BEL,30/08/2025 16:10,,,,CA,
AD4101,,30/08/2025 17:45,BEL,FOR,30/08/2025 19:40,,,,CA,
AD2937,,30/08/2025 20:30,FOR,BEL,30/08/2025 22:30,30/08/2025 23:00,,,CA,
AD4840,31/08/2025 12:30,31/08/2025 13:05,BEL,MCP,31/08/2025 14:00,,,,CA,
AD2705,,31/08/2025 14:40,MCP,BEL,31/08/2025 15:35,,,,CA,
AD4433,,31/08/2025 17:05,BEL,REC,31/08/2025 19:35,,,,CA,
AD4302,,31/08/2025 20:15,REC,BSB,31/08/2025 22:50,31/08/2025 23:20,,,CA,
AD4107,01/09/2025 18:20,01/09/2025 18:55,BSB,REC,01/09/2025 21:25,,,,CA,
AD4314,,01/09/2025 22:20,REC,VIX,02/09/2025 00:40,02/09/2025 01:10,,,CA,
AD4310,03/09/2025 04:25,03/09/2025 05:00,VIX,REC,03/09/2025 07:15,,,,CA,
AD4508,,03/09/2025 08:55,REC,VCP,03/09/2025 12:10,03/09/2025 12:40,,,CA,
